Momentum,Epoch,Training MSE,VS Accuracy,VS MSE,Test Accuracy,Test MSE
0.1,247,6.96057979412591E-6,0.9060402684563759,0.0027200869367940248,0.8508064516129032,0.02225871488033298
0.1,255,1.532289483546974E-5,0.8590604026845637,1.9797091442977644E-5,0.8387096774193549,0.026014568158168563
0.1,170,1.0341264801248977E-4,0.8389261744966443,0.0019407164631330303,0.8629032258064516,0.018795525494276794
0.1,167,7.965952308383835E-5,0.87248322147651,2.3596920390682504E-5,0.8548387096774194,0.02107180020811654
0.1,250,3.971533062083237E-5,0.8791946308724832,0.001973493090715692,0.8709677419354839,0.016649323621227886
0.1,279,1.324617554937004E-5,0.8456375838926175,0.0012841333046732736,0.8548387096774194,0.02107180020811654
0.1,218,2.643770558241469E-5,0.8926174496644296,1.8995992722182265E-9,0.8508064516129032,0.02225871488033298
0.1,381,3.714830536889783E-6,0.9060402684563759,2.1578990151756967E-10,0.8911290322580645,0.01185288761706556
0.1,391,6.917092855445074E-6,0.87248322147651,0.0018096688011508438,0.8830645161290323,0.013673907388137358
0.1,326,5.806229234633653E-6,0.87248322147651,0.0013837142045458545,0.8629032258064516,0.018795525494276794
0.2,122,2.3135040582065184E-4,0.8859060402684564,7.153379795184945E-5,0.8991935483870968,0.010161940686784604
0.2,625,3.612019990399726E-7,0.9060402684563759,6.39924776478873E-6,0.8911290322580645,0.01185288761706556
0.2,518,1.0071078210788477E-6,0.8926174496644296,4.3613115346403026E-5,0.8951612903225806,0.010991155046826226
0.2,402,2.8330463286835854E-6,0.8859060402684564,4.8274025318137336E-5,0.8870967741935484,0.012747138397502604
0.2,216,2.6826731892035977E-5,0.8791946308724832,5.726658879153569E-4,0.8508064516129032,0.02225871488033298
0.2,389,2.245641215373965E-6,0.8926174496644296,5.746297430916917E-8,0.8911290322580645,0.01185288761706556
0.2,461,1.2925057646939867E-6,0.8993288590604027,6.98440797916866E-8,0.8991935483870968,0.010161940686784604
0.2,328,2.323072716758865E-5,0.8657718120805369,1.9739159554741925E-5,0.8669354838709677,0.017706165452653484
0.2,450,7.553399917245284E-6,0.8859060402684564,2.2855826778372247E-6,0.8991935483870968,0.010161940686784604
0.2,299,5.153371207858617E-6,0.8993288590604027,3.6758653680641635E-7,0.875,0.015625
0.30000000000000004,306,1.2868569990595946E-5,0.8389261744966443,1.1338986139250018E-4,0.8346774193548387,0.027331555671175848
0.30000000000000004,354,3.7798512177373244E-6,0.912751677852349,8.285455298590365E-6,0.8790322580645161,0.014633194588969825
0.30000000000000004,176,1.1501601275212169E-4,0.8523489932885906,2.465219547267629E-7,0.8225806451612904,0.03147762747138396
0.30000000000000004,311,1.1511506360099426E-5,0.9261744966442953,3.4311343142309044E-6,0.875,0.015625
0.30000000000000004,505,8.526795910153655E-6,0.9530201342281879,7.148211704313886E-7,0.8870967741935484,0.012747138397502604
0.30000000000000004,128,2.181486355566208E-4,0.8456375838926175,7.281292778270094E-6,0.8508064516129032,0.02225871488033298
0.30000000000000004,374,2.44413457921564E-6,0.8456375838926175,8.178367608309363E-4,0.8588709677419355,0.019917403746097812
0.30000000000000004,293,2.7333235745762217E-5,0.8657718120805369,2.510846625318195E-4,0.8709677419354839,0.016649323621227886
